temps_s,T1_C,T2_C,T3_C
402.164,47.50,41.21,39.65
402.668,47.50,41.24,39.65
403.172,47.50,41.24,39.65
403.674,47.50,41.24,39.65
404.178,47.50,41.24,39.69
404.681,47.50,41.24,39.69
405.185,47.50,41.24,39.69
405.688,47.50,41.24,39.69
406.191,47.50,41.24,39.69
406.694,47.50,41.27,39.69
407.198,47.50,41.27,39.69
407.701,47.50,41.27,39.69
408.205,47.50,41.27,39.69
408.708,47.50,41.27,39.73
409.211,47.50,41.27,39.73
409.715,47.50,41.27,39.73
410.218,47.50,41.27,39.73
410.722,47.50,41.31,39.73
411.224,47.50,41.31,39.73
411.728,47.50,41.31,39.76
412.231,47.50,41.31,39.76
412.735,47.50,41.31,39.76
413.239,47.50,41.31,39.76
413.741,47.50,41.31,39.76
414.245,47.50,41.34,39.76
414.748,47.50,41.34,39.76
415.252,47.50,41.34,39.76
415.755,47.54,41.34,39.76
416.258,47.50,41.37,39.76
416.761,47.50,41.37,39.76
417.265,47.50,41.37,39.80
417.769,47.50,41.37,39.80
418.272,47.50,41.37,39.80
418.775,47.50,41.37,39.80
419.278,47.50,41.37,39.80
419.782,47.50,41.37,39.80
420.285,47.50,41.41,39.80
420.789,47.50,41.41,39.80
421.291,47.50,41.41,39.80
421.795,47.50,41.41,39.80
422.299,47.50,41.41,39.80
422.802,47.50,41.41,39.80
423.306,47.50,41.41,39.83
423.808,47.50,41.41,39.83
424.312,47.50,41.41,39.83
424.815,47.50,41.41,39.83
425.319,47.50,41.41,39.83
425.822,47.50,41.41,39.83
426.325,47.50,41.41,39.83
426.828,47.50,41.41,39.83
427.332,47.50,41.41,39.83
427.836,47.50,41.41,39.83
428.339,47.50,41.44,39.83
428.842,47.50,41.44,39.87
429.345,47.50,41.44,39.87
429.849,47.50,41.44,39.87
430.352,47.50,41.44,39.87
430.856,47.50,41.44,39.87
431.358,47.50,41.44,39.87
431.862,47.50,41.44,39.87
432.365,47.50,41.44,39.87
432.869,47.50,41.44,39.87
433.373,47.50,41.44,39.87
433.875,47.50,41.44,39.90
434.379,47.50,41.44,39.90
434.882,47.50,41.44,39.90
435.386,47.50,41.44,39.90
435.889,47.50,41.44,39.90
436.392,47.50,41.44,39.90
