temps_s,T1_C,T2_C,T3_C
366.919,11.02,14.04,15.27
367.422,10.98,14.04,15.27
367.926,10.98,14.01,15.27
368.428,10.98,14.01,15.27
368.932,10.98,14.01,15.23
369.435,11.02,14.01,15.23
369.939,10.98,14.01,15.23
370.442,11.02,13.97,15.23
370.945,11.02,13.97,15.23
371.448,10.98,13.97,15.19
371.952,11.02,13.97,15.19
372.455,11.02,13.97,15.19
372.959,11.02,13.93,15.19
373.461,10.98,13.93,15.19
373.965,11.02,13.93,15.19
374.468,11.02,13.93,15.15
374.972,11.02,13.93,15.15
375.476,10.98,13.93,15.15
375.978,11.02,13.90,15.15
376.482,11.02,13.90,15.15
376.985,11.02,13.90,15.11
377.489,11.02,13.90,15.11
377.992,11.02,13.90,15.11
378.495,11.02,13.90,15.11
378.998,10.98,13.86,15.07
379.502,11.02,13.86,15.07
380.005,11.02,13.86,15.07
380.509,11.02,13.86,15.07
381.011,10.98,13.86,15.07
381.515,11.02,13.82,15.07
382.018,10.98,13.82,15.04
382.522,10.98,13.82,15.04
383.025,10.98,13.82,15.04
383.528,11.02,13.82,15.04
384.032,11.02,13.82,15.04
384.535,10.98,13.79,15.04
385.039,10.98,13.79,15.04
385.541,11.02,13.79,15.00
386.045,10.98,13.79,15.00
386.548,10.98,13.79,14.96
387.052,11.02,13.79,14.96
387.555,11.02,13.79,14.96
388.058,10.98,13.79,14.96
388.561,10.98,13.75,14.96
389.065,10.98,13.75,14.96
389.568,11.02,13.75,14.96
390.072,10.98,13.75,14.96
390.574,10.98,13.75,14.92
391.078,10.98,13.71,14.92
391.581,11.02,13.75,14.92
392.085,11.02,13.71,14.92
392.589,11.02,13.71,14.92
393.091,11.02,13.71,14.88
393.595,11.02,13.71,14.88
394.098,10.98,13.71,14.88
394.602,11.02,13.67,14.88
395.105,10.98,13.67,14.88
395.608,10.98,13.67,14.84
396.111,10.98,13.67,14.84
396.615,10.98,13.67,14.84
397.118,10.98,13.67,14.84
397.622,11.02,13.64,14.84
398.124,11.02,13.67,14.84
398.628,10.98,13.64,14.84
399.131,10.98,13.64,14.80
399.635,10.98,13.64,14.80
400.138,11.02,13.64,14.80
400.641,11.02,13.60,14.80
401.145,10.98,13.60,14.80
401.648,10.98,13.60,14.80
402.152,10.98,13.60,14.80
402.655,11.02,13.60,14.77
403.158,11.02,13.60,14.77
403.661,11.02,13.56,14.77
404.165,10.98,13.60,14.77
404.668,10.98,13.56,14.77
405.172,10.98,13.56,14.77
405.674,10.98,13.56,14.77
406.178,10.98,13.56,14.73
406.681,10.98,13.56,14.73
407.185,10.98,13.53,14.73
407.688,11.02,13.53,14.73
408.191,10.98,13.53,14.73
408.694,10.98,13.53,14.73
409.198,10.98,13.53,14.69
409.702,10.98,13.53,14.69
410.205,11.02,13.49,14.69
410.708,10.98,13.53,14.69
411.211,11.02,13.53,14.69
411.715,11.02,13.49,14.65
412.218,10.98,13.49,14.65
412.722,10.98,13.49,14.65
413.224,11.02,13.49,14.65
413.728,10.98,13.49,14.65
414.231,10.98,13.45,14.65
414.735,10.98,13.45,14.65
415.237,10.98,13.45,14.61
415.741,11.02,13.45,14.61
416.244,10.98,13.45,14.61
416.748,10.98,13.45,14.61
417.252,11.02,13.45,14.61
417.754,11.02,13.45,14.57
418.258,11.02,13.45,14.57
418.761,11.02,13.41,14.57
419.265,10.98,13.45,14.57
419.768,10.98,13.41,14.57
420.271,10.98,13.41,14.53
420.774,10.98,13.45,14.53
421.278,11.02,13.41,14.53
421.781,10.98,13.41,14.53
422.285,10.98,13.41,14.53
422.787,11.02,13.41,14.53
423.291,11.02,13.41,14.53
423.795,11.02,13.41,14.53
424.298,10.98,13.38,14.53
424.802,11.02,13.41,14.53
425.304,10.98,13.38,14.49
425.808,10.98,13.38,14.49
426.311,10.98,13.38,14.49
426.815,10.98,13.38,14.49
427.318,10.98,13.38,14.46
427.821,10.98,13.34,14.49
428.324,10.98,13.34,14.46
428.828,11.02,13.34,14.46
429.331,10.98,13.34,14.46
429.835,10.98,13.34,14.46
430.337,10.98,13.34,14.46
430.841,11.02,13.30,14.46
431.345,10.98,13.30,14.42
431.848,10.98,13.34,14.42
432.352,10.98,13.30,14.42
432.854,11.02,13.30,14.42
433.358,10.98,13.30,14.42
433.861,10.98,13.30,14.42
434.365,11.02,13.30,14.42
434.868,10.98,13.30,14.42
435.371,10.98,13.30,14.38
435.874,10.98,13.26,14.38
436.378,10.98,13.26,14.38
