Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),R1,R,R3
110.98772025108337,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
111.48785734176636,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
111.98720026016235,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
112.48923945426941,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
113.00616002082825,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
113.54551792144775,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
114.03345322608948,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
114.48207902908325,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
114.98123669624329,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
115.48568391799927,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
115.99348521232605,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
116.49148559570312,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
116.99361968040466,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
117.74362230300903,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
118.21312737464905,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
118.7128369808197,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
119.1722424030304,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
119.64931416511536,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
120.11970019340515,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
120.63236260414124,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
121.0843231678009,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
121.55412316322327,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
122.0403618812561,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9055.28
122.52412796020508,20.0,0.0,28.83,27.58,27.37,,27.37,10.0,8188.38,8916.06,9055.28
123.08645439147949,20.0,0.0,28.83,27.58,27.4,,27.4,10.0,8205.0,8916.06,9055.28
123.55241370201111,20.0,0.0,28.83,27.58,27.4,,27.4,10.0,8205.0,8916.06,9055.28
124.0217936038971,20.0,0.0,28.83,27.58,27.4,,27.4,10.0,8205.0,8916.06,9055.28
124.52178859710693,20.0,0.0,28.83,27.58,27.4,,27.4,10.0,8205.0,8916.06,9055.28
125.01976299285889,20.0,0.0,28.83,27.58,27.4,,27.4,10.0,8205.0,8916.06,9055.28
125.5192654132843,20.0,0.0,28.83,27.58,27.4,,27.4,10.0,8205.0,8916.06,9055.28
126.02033543586731,20.0,0.0,28.88,27.58,27.4,,27.4,10.0,8188.38,8916.06,9068.18
126.51972532272339,20.0,0.0,28.88,27.58,27.37,,27.37,10.0,8188.38,8916.06,9055.28
127.04927277565002,20.0,0.0,28.88,27.58,27.37,,27.37,10.0,8188.38,8916.06,9068.18
127.51868486404419,20.0,0.0,28.88,27.58,27.37,,27.37,10.0,8188.38,8916.06,9068.18
128.0160632133484,20.0,0.0,28.88,27.58,27.37,,27.37,10.0,8188.38,8916.06,9068.18
128.51425337791443,20.0,0.0,28.88,27.58,27.37,,27.37,10.0,8188.38,8916.06,9068.18
129.02275705337524,20.0,0.0,28.88,27.58,27.37,,27.37,10.0,8188.38,8916.06,9068.18
129.51594352722168,20.0,0.0,28.88,27.58,27.37,,27.37,10.0,8188.38,8928.72,9068.18
130.02953028678894,20.0,0.0,28.88,27.58,27.37,,27.37,10.0,8188.38,8916.06,9068.18
